"zw.lat","zw.lng","Province","Status","Class","ProvinceClass","CountProvinceClass"
-20.1667,28.5667,"bulawayo","Active","Third Year","bulawayo Third Year",31
-18.9728,32.6694,"manicaland","Active","Third Year","manicaland Third Year",10
-18.9728,32.6694,"manicaland","Active","Fifth Year","manicaland Fifth Year",3
-18.9728,32.6694,"manicaland","Active","Sixth Year","manicaland Sixth Year",5
-18.9728,32.6694,"manicaland","Active","Pending Tertiary Reassignment","manicaland Pending Tertiary Reassignment",57
-20.0744,30.8328,"masvingo","Active","First Year","masvingo First Year",24
-20.1667,28.5667,"bulawayo","Active","Pending Post Graduate Reassignment","bulawayo Pending Post Graduate Reassignment",25
-19.458,29.82,"midlands","Active","Fifth Year","midlands Fifth Year",36
-17.8292,31.0522,"harare","Active","Pending Post Graduate Reassignment","harare Pending Post Graduate Reassignment",60
-20.0744,30.8328,"masvingo","Active","Pending Post Graduate Reassignment","masvingo Pending Post Graduate Reassignment",33
-20.0744,30.8328,"masvingo","Active","Sixth Year","masvingo Sixth Year",36
-18.1833,31.55,"mashonaland east","Active","Fifth Year","mashonaland east Fifth Year",15
-19.458,29.82,"midlands","Active","First Year - Second Semester","midlands First Year - Second Semester",54
-19.458,29.82,"midlands","Active","Fifth Year - Second Semester","midlands Fifth Year - Second Semester",3
-20.1667,28.5667,"bulawayo","Active","Fifth Year - Second Semester","bulawayo Fifth Year - Second Semester",6
-20.1667,28.5667,"bulawayo","Active","Sixth Year","bulawayo Sixth Year",34
-20.0744,30.8328,"masvingo","Active","First Year - First Semester","masvingo First Year - First Semester",30
-20.0744,30.8328,"masvingo","Active","Fifth Year","masvingo Fifth Year",24
-18.1833,31.55,"mashonaland east","Active","Pending Post Graduate Reassignment","mashonaland east Pending Post Graduate Reassignment",3
-18.9728,32.6694,"manicaland","Active","Second Year","manicaland Second Year",1
-18.9728,32.6694,"manicaland","Active","First Year - Second Semester","manicaland First Year - Second Semester",3
-19.0333,29.7833,"midlands","Active","Sixth Year","midlands Sixth Year",9
-17.5196,30.97,"mashonaland central","Active","Second Year - First Semester","mashonaland central Second Year - First Semester",51
-17.5196,30.97,"mashonaland central","Active","Third Year - First Semester","mashonaland central Third Year - First Semester",69
-17.5196,30.97,"mashonaland central","Active","Third Year - Second Semester","mashonaland central Third Year - Second Semester",30
-17.5196,30.97,"mashonaland central","Active","Pending Post Graduate Reassignment","mashonaland central Pending Post Graduate Reassignment",15
-17.5196,30.97,"mashonaland central","Active","Fourth Year - Second Semester","mashonaland central Fourth Year - Second Semester",6
-17.5196,30.97,"mashonaland central","Active","First Year - Second Semester","mashonaland central First Year - Second Semester",33
-17.5196,30.97,"mashonaland central","Active","Fifth Year - Second Semester","mashonaland central Fifth Year - Second Semester",3
-17.5196,30.97,"mashonaland central","Active","Fourth Year - First Semester","mashonaland central Fourth Year - First Semester",3
-20.1667,28.5667,"bulawayo","Active","Fourth Year - First Semester","bulawayo Fourth Year - First Semester",13
-20.1667,28.5667,"bulawayo","Active","Third Year - Second Semester","bulawayo Third Year - Second Semester",49
-20.1667,28.5667,"bulawayo","Active","Third Year - First Semester","bulawayo Third Year - First Semester",66
-20.1667,28.5667,"bulawayo","Active","Fourth Year - Second Semester","bulawayo Fourth Year - Second Semester",42
-20.1667,28.5667,"bulawayo","Active","Second Year - First Semester","bulawayo Second Year - First Semester",38
-20.1667,28.5667,"bulawayo","Active","First Year - First Semester","bulawayo First Year - First Semester",23
-20.1667,28.5667,"bulawayo","Active","First Year - Second Semester","bulawayo First Year - Second Semester",6
-17.8292,31.0522,"harare","Active","Second Year - First Semester","harare Second Year - First Semester",82
-17.8292,31.0522,"harare","Active","First Year - First Semester","harare First Year - First Semester",96
-18.9728,32.6694,"manicaland","Active","Third Year - Second Semester","manicaland Third Year - Second Semester",2
-18.9728,32.6694,"manicaland","Active","Second Year - First Semester","manicaland Second Year - First Semester",3
-18.9728,32.6694,"manicaland","Active","Third Year - First Semester","manicaland Third Year - First Semester",2
-18.9728,32.6694,"manicaland","Active","Fourth Year - Second Semester","manicaland Fourth Year - Second Semester",1
-17.8292,31.0522,"harare","Active","Fourth Year - Second Semester","harare Fourth Year - Second Semester",22
-20.0744,30.8328,"masvingo","Active","Fourth Year - First Semester","masvingo Fourth Year - First Semester",39
-20.0744,30.8328,"masvingo","Active","Second Year - First Semester","masvingo Second Year - First Semester",69
-20.0744,30.8328,"masvingo","Active","Third Year - Second Semester","masvingo Third Year - Second Semester",66
-21.0496,31.66,"masvingo","Active","Third Year - First Semester","masvingo Third Year - First Semester",132
-17.35,30.2,"mashonaland west","Active","Second Year - First Semester","mashonaland west Second Year - First Semester",136
-18.1833,31.55,"mashonaland east","Active","First Year - Second Semester","mashonaland east First Year - Second Semester",6
-17.35,30.2,"mashonaland west","Active","First Year - Second Semester","mashonaland west First Year - Second Semester",40
-17.3,31.3333,"mashonaland central","Active","First Year - First Semester","mashonaland central First Year - First Semester",9
-17.35,30.2,"mashonaland west","Active","Pending Post Graduate Reassignment","mashonaland west Pending Post Graduate Reassignment",16
-17.35,30.2,"mashonaland west","Active","Fourth Year - Second Semester","mashonaland west Fourth Year - Second Semester",8
-17.35,30.2,"mashonaland west","Active","Third Year - Second Semester","mashonaland west Third Year - Second Semester",248
-16.5333,28.8,"mashonaland west","Active","Fourth Year - First Semester","mashonaland west Fourth Year - First Semester",176
-17.35,30.2,"mashonaland west","Active","Third Year - First Semester","mashonaland west Third Year - First Semester",240
-17.8292,31.0522,"harare","Active","Second Year - Second Semester","harare Second Year - Second Semester",2
-18.9728,32.6694,"manicaland","Active","First Year - First Semester","manicaland First Year - First Semester",2
-18,31.1,"harare","Active","Third Year - Second Semester","harare Third Year - Second Semester",308
-18,31.1,"harare","Active","Fourth Year - First Semester","harare Fourth Year - First Semester",68
-18,31.1,"harare","Active","Fifth Year - Second Semester","harare Fifth Year - Second Semester",10
-18,31.1,"harare","Active","Third Year - First Semester","harare Third Year - First Semester",250
-19.0333,29.7833,"midlands","Active","Fourth Year - Second Semester","midlands Fourth Year - Second Semester",114
-19.0333,29.7833,"midlands","Active","Fourth Year - First Semester","midlands Fourth Year - First Semester",168
-19.0333,29.7833,"midlands","Active","Third Year - First Semester","midlands Third Year - First Semester",492
-19.0333,29.7833,"midlands","Active","Third Year - Second Semester","midlands Third Year - Second Semester",546
-19.0333,29.7833,"midlands","Active","Second Year - Second Semester","midlands Second Year - Second Semester",3
-18.1833,31.55,"mashonaland east","Active","FORM 2","mashonaland east FORM 2",114
-17.8292,31.0522,"harare","Active","Grade 12","harare Grade 12",2
-17.3,31.3333,"mashonaland central","Active","Form 1","mashonaland central Form 1",96
-17.8292,31.0522,"harare","Active","Form 1","harare Form 1",136
-17.35,30.2,"mashonaland west","Active","Form 1","mashonaland west Form 1",184
-20.1667,28.5667,"bulawayo","Active","Form 1","bulawayo Form 1",41
-18.9728,32.6694,"manicaland","Active","Form 1","manicaland Form 1",142
-18.1833,31.55,"mashonaland east","Active","Form 1","mashonaland east Form 1",150
-18.9728,32.6694,"manicaland","Active","FORM 2","manicaland FORM 2",35
-17.8292,31.0522,"harare","Active","Form 5","harare Form 5",14
-17.8292,31.0522,"harare","Active","Grade 0","harare Grade 0",16
-18.9728,32.6694,"manicaland","Active","Grade 0","manicaland Grade 0",2
-18.9728,32.6694,"manicaland","Active","Form 4","manicaland Form 4",68
-18.1833,31.55,"mashonaland east","Active","Grade 0","mashonaland east Grade 0",9
-18.1833,31.55,"mashonaland east","Active","Form 3","mashonaland east Form 3",144
-17.35,30.2,"mashonaland west","Active","Form 4","mashonaland west Form 4",240
-18.1833,31.55,"mashonaland east","Active","Capernaum Trust Institutions","mashonaland east Capernaum Trust Institutions",6
-18.1833,31.55,"mashonaland east","Active","ECD-A","mashonaland east ECD-A",33
-17.35,30.2,"mashonaland west","Active","ECD-A","mashonaland west ECD-A",52
-19.458,29.82,"midlands","Active","ECD-A","midlands ECD-A",9
-20.1667,28.5667,"bulawayo","Active","ECD-A","bulawayo ECD-A",1
-17.8292,31.0522,"harare","Active","ECD-A","harare ECD-A",2
-20.0744,30.8328,"masvingo","Active","Special Class","masvingo Special Class",6
-20.1667,28.5667,"bulawayo","Active","Special Class","bulawayo Special Class",9
-17.35,30.2,"mashonaland west","Active","Special Class","mashonaland west Special Class",44
-17.3,31.3333,"mashonaland central","Active","Special Class","mashonaland central Special Class",6
-18.9728,32.6694,"manicaland","Active","Grade 1","manicaland Grade 1",7
-18.1833,31.55,"mashonaland east","Active","Grade 1","mashonaland east Grade 1",96
-20.0744,30.8328,"masvingo","Active","Grade 1","masvingo Grade 1",39
-19.458,29.82,"midlands","Active","Grade 1","midlands Grade 1",3
-17.8292,31.0522,"harare","Active","Grade 1","harare Grade 1",18
-20.1667,28.5667,"bulawayo","Active","Grade 1","bulawayo Grade 1",3
-18.9728,32.6694,"manicaland","Active","Grade 2","manicaland Grade 2",12
-20.0744,30.8328,"masvingo","Active","Grade 2","masvingo Grade 2",15
-17.8292,31.0522,"harare","Active","Grade 2","harare Grade 2",34
-20.1667,28.5667,"bulawayo","Active","Grade 2","bulawayo Grade 2",2
-17.35,30.2,"mashonaland west","Active","Grade 2","mashonaland west Grade 2",16
-17.3,31.3333,"mashonaland central","Active","Grade 2","mashonaland central Grade 2",18
-18.1833,31.55,"mashonaland east","Active","Grade 2","mashonaland east Grade 2",63
-18.9728,32.6694,"manicaland","Active","Grade 3","manicaland Grade 3",17
-20.0744,30.8328,"masvingo","Active","Grade 3","masvingo Grade 3",18
-18.1833,31.55,"mashonaland east","Active","Grade 3","mashonaland east Grade 3",57
-19.458,29.82,"midlands","Active","Grade 3","midlands Grade 3",3
-17.8292,31.0522,"harare","Active","Grade 3","harare Grade 3",44
-20.1667,28.5667,"bulawayo","Active","Grade 3","bulawayo Grade 3",8
-17.35,30.2,"mashonaland west","Active","Grade 3","mashonaland west Grade 3",32
-17.3,31.3333,"mashonaland central","Active","Grade 3","mashonaland central Grade 3",9
-18.9728,32.6694,"manicaland","Active","Grade 4","manicaland Grade 4",13
-20.0744,30.8328,"masvingo","Active","Grade 4","masvingo Grade 4",21
-17.8292,31.0522,"harare","Active","Grade 4","harare Grade 4",38
-19.458,29.82,"midlands","Active","Grade 4","midlands Grade 4",3
-20.1667,28.5667,"bulawayo","Active","Grade 4","bulawayo Grade 4",5
-17.35,30.2,"mashonaland west","Active","Grade 4","mashonaland west Grade 4",12
-18.1833,31.55,"mashonaland east","Active","Grade 4","mashonaland east Grade 4",75
-18.9728,32.6694,"manicaland","Active","Grade 5","manicaland Grade 5",48
-20.0744,30.8328,"masvingo","Active","Grade 5","masvingo Grade 5",75
-17.3,31.3333,"mashonaland central","Active","Grade 5","mashonaland central Grade 5",75
-17.35,30.2,"mashonaland west","Active","Grade 5","mashonaland west Grade 5",116
-17.8292,31.0522,"harare","Active","Grade 5","harare Grade 5",100
-19.458,29.82,"midlands","Active","Grade 5","midlands Grade 5",36
-20.1667,28.5667,"bulawayo","Active","Grade 5","bulawayo Grade 5",24
-18.1833,31.55,"mashonaland east","Active","Grade 5","mashonaland east Grade 5",60
-18.9728,32.6694,"manicaland","Active","Grade 6","manicaland Grade 6",62
-20.0744,30.8328,"masvingo","Active","Grade 6","masvingo Grade 6",54
-18.1833,31.55,"mashonaland east","Active","Grade 6","mashonaland east Grade 6",120
-17.8292,31.0522,"harare","Active","Grade 6","harare Grade 6",142
-17.35,30.2,"mashonaland west","Active","Grade 6","mashonaland west Grade 6",104
-19.458,29.82,"midlands","Active","Grade 6","midlands Grade 6",66
-17.3,31.3333,"mashonaland central","Active","Grade 6","mashonaland central Grade 6",51
-20.1667,28.5667,"bulawayo","Active","Grade 6","bulawayo Grade 6",42
-20.0744,30.8328,"masvingo","Active","Grade 7","masvingo Grade 7",78
-18.9728,32.6694,"manicaland","Active","Grade 7","manicaland Grade 7",83
-18.1833,31.55,"mashonaland east","Active","Grade 7","mashonaland east Grade 7",129
-17.8292,31.0522,"harare","Active","Grade 7","harare Grade 7",104
-17.3,31.3333,"mashonaland central","Active","Grade 7","mashonaland central Grade 7",99
-17.35,30.2,"mashonaland west","Active","Grade 7","mashonaland west Grade 7",184
-19.458,29.82,"midlands","Active","Grade 7","midlands Grade 7",120
-20.1667,28.5667,"bulawayo","Active","Grade 7","bulawayo Grade 7",21
-17.3,31.3333,"mashonaland central","Active","Pending O Level Reassignment","mashonaland central Pending O Level Reassignment",351
-20.0744,30.8328,"masvingo","Active","Pending O Level Reassignment","masvingo Pending O Level Reassignment",195
-19.458,29.82,"midlands","Active","Pending O Level Reassignment","midlands Pending O Level Reassignment",285
-17.8292,31.0522,"harare","Active","Pending O Level Reassignment","harare Pending O Level Reassignment",314
-17.35,30.2,"mashonaland west","Active","Pending O Level Reassignment","mashonaland west Pending O Level Reassignment",392
-20.1667,28.5667,"bulawayo","Active","Pending O Level Reassignment","bulawayo Pending O Level Reassignment",52
-18.9728,32.6694,"manicaland","Active","Pending O Level Reassignment","manicaland Pending O Level Reassignment",10
-18.1833,31.55,"mashonaland east","Active","Pending O Level Reassignment","mashonaland east Pending O Level Reassignment",72
-18.9728,32.6694,"manicaland","Active","Form 3","manicaland Form 3",75
-17.8292,31.0522,"harare","Active","Form 3","harare Form 3",92
-20.0744,30.8328,"masvingo","Active","Form 3","masvingo Form 3",114
-17.3,31.3333,"mashonaland central","Active","Form 3","mashonaland central Form 3",105
-20.1667,28.5667,"bulawayo","Active","Form 3","bulawayo Form 3",48
-17.3,31.3333,"mashonaland central","Active","FORM 2","mashonaland central FORM 2",45
-20.0744,30.8328,"masvingo","Active","FORM 2","masvingo FORM 2",60
-17.8292,31.0522,"harare","Active","FORM 2","harare FORM 2",38
-17.35,30.2,"mashonaland west","Active","FORM 2","mashonaland west FORM 2",80
-19.458,29.82,"midlands","Active","FORM 2","midlands FORM 2",63
-19.458,29.82,"midlands","Active","Form 1","midlands Form 1",129
-17.8292,31.0522,"harare","Active","Form 6","harare Form 6",14
-18.9728,32.6694,"manicaland","Active","Form 6","manicaland Form 6",19
-19.458,29.82,"midlands","Active","Form 6","midlands Form 6",42
-18.1833,31.55,"mashonaland east","Active","Form 6","mashonaland east Form 6",39
-17.3,31.3333,"mashonaland central","Active","Form 6","mashonaland central Form 6",6
-20.1667,28.5667,"bulawayo","Active","Form 6","bulawayo Form 6",11
-20.0744,30.8328,"masvingo","Active","Form 6","masvingo Form 6",12
-20.1667,28.5667,"bulawayo","Active","Form 5","bulawayo Form 5",10
-18.1833,31.55,"mashonaland east","Active","Form 5","mashonaland east Form 5",54
-17.3,31.3333,"mashonaland central","Active","Form 5","mashonaland central Form 5",6
-18.9728,32.6694,"manicaland","Active","Form 5","manicaland Form 5",14
-20.0744,30.8328,"masvingo","Active","Form 5","masvingo Form 5",30
-19.458,29.82,"midlands","Active","Form 5","midlands Form 5",12
-17.35,30.2,"mashonaland west","Active","Form 5","mashonaland west Form 5",12
-17.3,31.3333,"mashonaland central","Active","First Year","mashonaland central First Year",9
-17.35,30.2,"mashonaland west","Active","Pending Tertiary Assignment","mashonaland west Pending Tertiary Assignment",4
-17.8292,31.0522,"harare","Active","UNIVERSITY OF NAMIBIA","harare UNIVERSITY OF NAMIBIA",2
-20.0744,30.8328,"masvingo","Active","Form 4","masvingo Form 4",222
-17.8292,31.0522,"harare","Active","Form 4","harare Form 4",164
-17.3,31.3333,"mashonaland central","Active","Form 4","mashonaland central Form 4",192
-20.1667,28.5667,"bulawayo","Active","Form 4","bulawayo Form 4",58
